,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Friday, Apr 8",SEA,@,MIN,W,2.0,1.0,9.0,1-0,2.0,0.5,Ray,Ryan,Steckenrider,2:53,D,35462.0,.97,1,
2,"Saturday, Apr 9",SEA,@,MIN,W,4.0,3.0,9.0,2-0,1.0,up 0.5,Munoz,Duffey,Castillo,3:09,D,20867.0,1.02,2,
3,"Sunday, Apr 10",SEA,@,MIN,L,4.0,10.0,9.0,2-1,2.0,0.5,Ober,Gonzales,None,3:11,D,17018.0,1.05,-1,
4,"Monday, Apr 11",SEA,@,MIN,L,0.0,4.0,9.0,2-2,2.0,1.0,Bundy,Flexen,None,3:00,N,12932.0,1.03,-2,
5,"Tuesday, Apr 12",SEA,@,CHW,L,2.0,3.0,9.0,2-3,3.0,2.0,Lopez,Brash,Hendriks,3:22,D,36948.0,.98,-3,
6,"Wednesday, Apr 13",SEA,@,CHW,L,4.0,6.0,9.0,2-4,4.0,2.0,Keuchel,Ray,Hendriks,2:54,N,12291.0,.98,-4,
7,"Thursday, Apr 14",SEA,@,CHW,W,5.0,1.0,9.0,3-4,3.0,1.5,Gilbert,Lambert,None,3:01,D,13391.0,.88,1,
8,"Friday, Apr 15",SEA,Home,HOU,W,11.0,1.0,9.0,4-4,2.0,0.5,Gonzales,Odorizzi,None,3:04,N,45023.0,1.01,2,
9,"Saturday, Apr 16",SEA,Home,HOU,L,0.0,4.0,9.0,4-5,4.0,1.5,Verlander,Flexen,None,2:36,N,38504.0,1.05,-1,
10,"Sunday, Apr 17",SEA,Home,HOU,W,7.0,2.0,9.0,5-5,3.0,1.0,Brash,Urquidy,None,2:56,D,26583.0,1.03,1,
11,"Tuesday, Apr 19",SEA,Home,TEX,W,6.0,2.0,9.0,6-5,3.0,0.5,Ray,Gray,None,2:37,N,11067.0,1.02,2,
12,"Wednesday, Apr 20",SEA,Home,TEX,W,4.0,2.0,9.0,7-5,2.0,0.5,Gilbert,Dunning,None,2:56,N,9374.0,1.06,3,
13,"Thursday, Apr 21",SEA,Home,TEX,L,6.0,8.0,9.0,7-6,3.0,1.0,Barlow,Steckenrider,None,3:47,N,12570.0,1.05,-1,
14,"Friday, Apr 22",SEA,Home,KCR,W,4.0,1.0,9.0,8-6,1.0,Tied,Flexen,Keller,Munoz,2:42,N,24206.0,1.06,1,
15,"Saturday, Apr 23",SEA,Home,KCR,W,13.0,7.0,9.0,9-6,1.0,up 1.0,Castillo,Brentz,None,4:06,N,28583.0,1.08,2,
16,"Sunday, Apr 24",SEA,Home,KCR,W-wo,5.0,4.0,12.0,10-6,1.0,up 1.0,Ramirez,Payamps,None,4:12,D,28548.0,1.11,3,
17,"Tuesday, Apr 26",SEA,@,TBR,W,8.0,4.0,9.0,11-6,1.0,up 0.5,Gilbert,Fleming,None,3:15,N,9257.0,1.19,4,
18,"Wednesday, Apr 27",SEA,@,TBR,L,2.0,3.0,9.0,11-7,2.0,0.5,Rasmussen,Gonzales,Kittredge,2:41,N,7290.0,1.17,-1,
19,"Thursday, Apr 28",SEA,@,TBR,L,1.0,2.0,9.0,11-8,2.0,1.5,Feyereisen,Flexen,Thompson,3:04,D,6749.0,1.15,-2,
20,"Friday, Apr 29",SEA,@,MIA,L,6.0,8.0,9.0,11-9,2.0,2.5,Hernandez,Brash,Bender,3:06,N,9963.0,1.05,-3,
21,"Saturday, Apr 30",SEA,@,MIA,L,1.0,3.0,9.0,11-10,2.0,2.5,Luzardo,Ray,Bender,2:46,N,29010.0,1.04,-4,
22,"Sunday, May 1",SEA,@,MIA,W,7.0,3.0,9.0,12-10,2.0,2.5,Gilbert,Alcantara,None,3:22,D,16741.0,1.02,1,
